date,open,close,high,low,volume
2022-01-04,15.59,16.29,16.7,15.41,295800.43
2022-01-05,16.33,15.89,16.63,15.52,240872.43
2022-01-06,15.68,15.74,16.48,15.68,202697.49
2022-01-07,16.08,15.41,16.45,15.37,218756.08
2022-01-10,15.46,15.98,16.28,15.41,185263.07
2022-01-11,15.9,15.71,16.27,15.52,150858.57
2022-01-12,15.72,15.67,15.98,15.56,88689.56
2022-01-13,15.79,15.86,16.24,15.53,186279.89
2022-01-14,15.71,15.52,15.89,15.41,121210.42
2022-01-17,15.98,16.66,16.7,15.94,315613.12
2022-01-18,16.78,16.48,17.0,16.36,309899.95
2022-01-19,16.14,16.65,16.95,16.1,231477.95
2022-01-20,16.64,16.86,17.0,16.11,243370.6
2022-01-21,16.7,16.18,17.16,16.17,209560.68
2022-01-24,15.91,16.58,16.95,15.91,183748.39
2022-01-25,16.11,15.46,16.48,15.15,232705.36
2022-01-26,15.55,15.49,16.25,15.21,154728.76
2022-01-27,15.45,14.01,15.47,13.93,220852.72
2022-01-28,14.15,14.39,14.79,14.01,137107.15
2022-02-07,14.56,13.75,14.71,13.62,187835.62
2022-02-08,13.72,13.74,13.78,13.13,124501.79
2022-02-09,13.97,14.93,15.49,13.97,323997.53
2022-02-10,14.69,14.56,14.85,14.19,173023.14
2022-02-11,14.41,14.69,15.05,14.31,170300.32
2022-02-14,14.32,14.39,14.8,14.07,112816.76
2022-02-15,14.46,14.18,14.81,14.09,125173.83
2022-02-16,14.4,14.11,14.7,14.01,131892.16
2022-02-17,13.91,13.87,14.23,13.81,102514.2
2022-02-18,13.92,14.16,14.41,13.88,132410.64
2022-02-21,14.12,14.49,14.57,14.09,116843.61
2022-02-22,14.26,13.91,14.4,13.8,139608.25
2022-02-23,14.01,14.24,14.24,13.79,129088.78
2022-02-24,14.0,13.49,14.08,13.22,180383.82
2022-02-25,13.62,13.77,14.06,13.49,115753.51
2022-02-28,14.41,14.79,14.95,13.87,367216.97
2022-03-01,14.81,14.9,15.45,14.59,350019.83
2022-03-02,14.41,14.6,14.96,14.41,202129.02
2022-03-03,14.66,15.14,15.17,14.3,304030.1
2022-03-04,14.92,14.75,15.18,14.44,272277.82
2022-03-07,14.77,14.86,15.1,14.41,187358.26
2022-03-08,14.58,14.05,14.86,13.84,170014.9
2022-03-09,13.86,13.61,14.0,12.62,178892.46
2022-03-10,13.91,13.71,14.25,13.68,142757.74
2022-03-11,13.52,13.85,13.95,13.17,154763.67
2022-03-14,13.66,13.33,13.98,13.32,99319.07
2022-03-15,13.09,12.76,13.5,12.75,110888.39
2022-03-16,12.97,13.16,13.27,12.48,129214.17
2022-03-17,13.32,13.3,13.58,13.16,137427.43
2022-03-18,13.59,13.41,13.66,13.29,97881.25
2022-03-21,13.34,13.3,13.45,13.14,81645.42
2022-03-22,13.29,13.4,13.6,13.14,96407.79
2022-03-23,13.42,13.2,13.42,13.12,89529.52
2022-03-24,13.03,12.85,13.2,12.83,78894.9
2022-03-25,13.08,12.89,13.29,12.84,80632.85
2022-03-28,12.92,12.82,13.01,12.66,53872.78
2022-03-29,12.87,12.68,12.94,12.65,54132.87
2022-03-30,12.77,13.08,13.09,12.63,86050.34
2022-03-31,13.0,13.5,13.77,12.93,190029.24
2022-04-01,13.52,13.28,13.77,13.26,121553.49
2022-04-06,13.41,13.39,13.55,13.29,92737.06
2022-04-07,13.26,12.84,13.3,12.82,88173.42
2022-04-08,13.2,12.72,13.2,12.66,71377.53
2022-04-11,12.72,11.84,12.75,11.84,125142.17
2022-04-12,11.85,11.87,12.01,11.55,90422.17
2022-04-13,11.83,11.15,11.83,11.13,101752.09
2022-04-14,11.29,11.24,11.44,11.2,54422.3
2022-04-15,11.15,11.13,11.21,10.91,66393.74
2022-04-18,11.13,11.2,11.29,10.81,55982.03
2022-04-19,11.2,11.18,11.34,11.05,45904.3
2022-04-20,11.32,11.04,11.49,10.93,80247.19
2022-04-21,11.03,10.35,11.09,10.31,97765.79
2022-04-22,10.07,9.77,10.49,9.72,136166.45
2022-04-25,9.64,8.65,9.64,8.57,210197.63
2022-04-26,8.73,8.31,8.82,8.25,162555.06
2022-04-27,8.2,8.65,8.73,8.08,165917.36
2022-04-28,8.52,8.54,8.63,8.32,139620.78
2022-04-29,8.65,9.09,9.17,8.57,182404.2
2022-05-05,8.94,9.0,9.21,8.85,95730.68
2022-05-06,8.75,8.94,9.19,8.68,83731.7
2022-05-09,8.97,9.2,9.28,8.9,108200.98
2022-05-10,9.12,9.37,9.49,9.05,98652.29
2022-05-11,9.28,9.36,9.72,9.27,115513.57
2022-05-12,9.23,9.47,9.62,9.2,67106.83
