date,open,close,high,low,volume,amount
2022-01-04,19.6,19.51,19.83,19.19,64507.49,
2022-01-05,19.46,18.39,19.46,18.19,85079.85,
2022-01-06,18.29,19.06,19.55,18.2,60481.0,
2022-01-07,19.13,18.47,19.35,18.47,46463.51,
2022-01-10,18.45,18.7,18.91,18.35,36645.53,
2022-01-11,18.79,18.53,18.81,18.44,32056.0,
2022-01-12,18.66,18.83,18.95,18.51,31382.57,
2022-01-13,18.74,18.3,19.16,18.28,41935.36,
2022-01-14,18.11,17.82,18.43,17.77,46163.0,
2022-01-17,17.87,18.04,18.13,17.68,51454.06,
2022-01-18,18.05,17.35,18.11,17.35,50957.34,
2022-01-19,17.33,17.41,17.6,17.18,38186.74,
2022-01-20,17.35,16.84,17.46,16.82,42638.6,
2022-01-21,16.84,16.7,17.0,16.59,23850.4,
2022-01-24,16.7,16.66,16.83,16.45,24364.8,
2022-01-25,16.59,15.91,16.76,15.88,37275.32,
2022-01-26,15.91,16.05,16.26,15.89,22016.0,
2022-01-27,15.94,15.23,16.13,15.14,48000.8,
2022-01-28,15.31,15.41,15.63,15.19,31178.0,
2022-02-07,15.78,15.62,15.78,15.49,26754.4,
2022-02-08,15.73,15.72,15.8,15.41,24122.04,
2022-02-09,15.73,16.1,16.18,15.64,33561.6,
2022-02-10,16.06,15.93,16.31,15.78,32646.83,
2022-02-11,15.93,15.55,15.94,15.43,30631.0,
2022-02-14,15.4,15.59,15.73,15.36,16700.92,
2022-02-15,15.5,15.67,15.84,15.41,20156.69,
2022-02-16,15.79,16.05,16.13,15.71,28100.09,
2022-02-17,16.04,15.91,16.26,15.82,34413.4,
2022-02-18,15.82,15.96,15.96,15.67,20549.26,
2022-02-21,16.04,16.29,16.43,15.96,34417.75,
2022-02-22,16.09,16.46,16.48,15.91,37908.75,
2022-02-23,16.76,17.29,17.55,16.7,93604.02,
2022-02-24,16.98,16.54,17.41,16.22,91619.11,
2022-02-25,16.82,16.52,17.01,16.43,40817.64,
2022-02-28,16.58,16.31,16.59,16.23,28255.93,
2022-03-01,16.37,16.5,16.64,16.3,25552.59,
2022-03-02,16.5,16.45,16.5,16.18,24318.15,
2022-03-03,16.66,16.23,16.73,16.16,25526.91,
2022-03-04,16.07,15.98,16.36,15.95,22592.0,
2022-03-07,15.93,15.57,16.04,15.5,26138.68,
2022-03-08,15.49,14.89,15.63,14.8,35216.22,
2022-03-09,14.98,14.88,15.17,14.25,33910.14,
2022-03-10,15.32,15.09,15.4,15.01,24449.55,
2022-03-11,14.99,15.17,15.2,14.63,24456.94,
2022-03-14,15.17,14.54,15.17,14.51,24161.0,
2022-03-15,14.36,13.63,14.51,13.57,37397.0,
2022-03-16,13.81,13.92,14.22,13.22,53249.82,
2022-03-17,14.07,14.33,14.72,14.07,42534.47,
2022-03-18,14.54,14.44,14.54,14.25,21910.0,
2022-03-21,14.51,14.76,14.77,14.41,28561.0,
2022-03-22,14.85,14.68,14.85,14.56,18727.0,
2022-03-23,14.74,14.85,14.9,14.6,21180.89,
2022-03-24,14.78,14.56,14.78,14.51,18465.0,
2022-03-25,14.59,14.65,14.91,14.56,18711.0,
2022-03-28,14.58,14.45,14.62,14.19,13948.29,
2022-03-29,14.51,14.19,14.64,14.18,19096.78,
2022-03-30,14.3,14.53,14.57,14.23,16879.22,
2022-03-31,14.63,14.32,14.63,14.3,14136.0,
2022-04-01,14.18,13.99,14.25,13.9,21452.0,
2022-04-06,13.97,13.94,14.15,13.88,16305.2,
2022-04-07,13.93,13.45,13.93,13.44,23873.23,
2022-04-08,13.42,13.14,13.56,12.99,24129.56,
2022-04-11,13.07,12.51,13.2,12.44,23312.18,
2022-04-12,12.62,12.68,12.71,12.3,25569.0,
2022-04-13,12.68,12.4,12.68,12.35,15053.0,
2022-04-14,12.39,12.32,12.53,12.3,19010.04,
2022-04-15,12.26,11.84,12.27,11.7,34020.0,
2022-04-18,11.99,12.21,12.28,11.66,24390.2,
2022-04-19,12.35,12.38,12.55,12.12,25816.76,
2022-04-20,12.44,12.23,12.58,12.15,21714.0,
2022-04-21,12.17,11.64,12.28,11.6,26561.74,
2022-04-22,11.6,11.36,11.6,11.26,24028.0,
2022-04-25,11.3,10.04,11.3,10.02,35212.66,
2022-04-26,10.07,9.58,10.28,9.52,29635.0,
